Date,Open,High,Low,Close,Adj Close,Volume
2010-11-29,137.783997,140.061996,136.406006,139.119995,74.463486,4735918
2010-11-30,138.628006,140.343994,136.447998,138.233994,73.989265,3408313
2010-12-01,137.925003,140.061996,137.039001,139.289001,74.553947,2990052
2010-12-02,139.781006,140.906006,137.250000,138.291000,74.019783,3883300
2010-12-03,138.641998,139.147995,136.125000,136.630997,73.131264,3708391
2010-12-06,138.375000,139.556000,137.714005,138.783005,74.283104,4990610
2010-12-07,138.768997,141.947006,138.164001,141.173004,75.562363,4659940
2010-12-08,141.397995,143.296997,138.177994,142.692001,76.375381,8114887
2010-12-09,143.718994,144.647003,138.951996,139.753006,74.802307,7157746
2010-12-10,139.500000,141.188004,136.968994,138.544006,74.155197,6034976
2010-12-13,138.375000,141.468994,137.559006,140.891998,75.411949,2295200
2010-12-14,140.906006,142.369003,139.822998,141.919006,75.961647,4191154
2010-12-15,143.578003,143.578003,139.500000,141.328003,75.645309,7130809
2010-12-16,140.175003,141.300003,139.358994,140.625000,75.269051,4410101
2010-12-20,140.597000,144.309006,140.427994,142.804993,76.435875,5336964
2010-12-21,143.128006,144.197006,141.173004,142.875000,76.473343,8946656
2010-12-22,143.438004,143.916000,142.311996,143.227005,76.661743,3145138
2010-12-23,144.000000,144.281006,141.778000,142.973007,76.525810,2964121
2010-12-24,143.156006,144.843994,142.311996,144.492004,77.338852,1510418
2010-12-27,144.253006,145.406006,142.621994,143.339005,77.798553,2286585
2010-12-28,143.438004,143.619995,141.778000,142.311996,77.241142,1445394
2010-12-29,142.705994,143.324997,142.158005,142.537994,77.363808,1199716
2010-12-30,143.647995,144.520004,141.412994,143.634003,77.958649,3730713
2010-12-31,143.578003,144.561996,142.677994,144.182999,78.256638,2789532
2011-01-03,144.014008,145.589005,144.014008,144.858002,78.623001,1909362
2011-01-04,145.800003,147.572006,145.688004,146.419006,79.470253,3427111
2011-01-05,146.811996,149.597000,145.716003,148.725006,80.721848,2404757
2011-01-06,149.061996,151.242004,147.712006,148.261002,80.470016,4800331
2011-01-07,148.022003,149.822006,146.404999,147.501999,80.058067,2918837
2011-01-10,147.656006,148.725006,140.625000,141.397995,76.745056,4477767
2011-01-11,142.593994,143.774994,139.613007,140.807999,76.424828,3254272
2011-01-12,142.565994,144.000000,139.809006,143.128006,77.684029,2513589
2011-01-13,143.761002,144.942001,139.358994,140.231003,76.111664,3836804
2011-01-14,140.483994,141.947006,135.294998,136.897995,74.302643,3225717
2011-01-17,137.531006,137.699997,131.835999,135.520004,73.554718,4911634
2011-01-18,136.406006,138.093994,132.468994,134.507996,73.005440,5944295
2011-01-19,135.000000,135.561996,130.289001,131.358002,71.295753,10988149
2011-01-20,129.093994,130.416000,126.126999,127.476997,69.189308,12861284
2011-01-21,128.516998,129.009003,126.844002,127.405998,69.150764,4615851
2011-01-24,128.531006,130.022003,127.688004,129.431000,70.249855,4107623
2011-01-25,130.500000,135.253006,129.768997,133.466995,72.440437,5209266
2011-01-27,135.561996,136.378006,127.969002,129.248001,70.150536,6556491
2011-01-28,129.488007,129.895004,125.155998,127.856003,69.395012,4461045
2011-01-31,128.531006,134.438004,126.942001,132.455002,71.891167,4209330
2011-02-01,132.750000,133.509003,128.250000,130.007996,70.563034,3163424
2011-02-02,130.358994,132.117004,128.811996,129.697998,70.394775,2119541
2011-02-03,129.966003,132.300003,128.841003,130.472000,70.814865,2023317
2011-02-04,130.781006,131.315994,126.633003,127.419998,69.158356,4045568
2011-02-07,129.009003,129.009003,123.778000,125.197998,67.952362,3992864
2011-02-08,127.688004,127.688004,123.469002,124.185997,67.403091,4355431
2011-02-09,122.695000,126.773003,119.967003,125.522003,68.128212,4920124
2011-02-10,124.650002,128.516998,124.481003,127.139000,69.005852,5410741
2011-02-11,126.154999,127.139000,123.216003,125.394997,68.059288,10528491
2011-02-14,124.495003,128.811996,124.495003,128.250000,69.608856,2142891
2011-02-15,128.250000,130.472000,126.942001,128.686005,69.845505,2093152
2011-02-16,129.291000,129.852997,127.279999,128.966995,69.998024,1835044
2011-02-17,128.783997,128.783997,127.012001,127.391998,69.143166,3297159
2011-02-18,128.194000,128.250000,123.764000,124.552002,67.601738,2897852
2011-02-21,125.155998,127.237999,122.344002,126.252998,68.524971,2788178
2011-02-22,125.438004,126.533997,123.188004,124.369003,67.502419,2746059
2011-02-23,124.030998,125.747002,123.356003,124.720001,67.692917,1455463
2011-02-24,123.328003,126.280998,121.500000,123.116997,66.822876,4902788
2011-02-25,123.188004,124.650002,121.303001,123.046997,66.784882,3024476
2011-02-28,124.030998,124.608002,119.530998,119.967003,65.113182,7088185
2011-03-01,120.655998,125.719002,120.234001,125.141998,67.921974,2618983
2011-03-03,123.342003,128.503006,123.342003,128.039001,69.494354,4652540
2011-03-04,128.250000,129.375000,126.042000,128.052994,69.501945,3503893
2011-03-07,126.294998,128.250000,124.030998,124.833000,67.754257,1485241
2011-03-08,123.792000,125.648003,123.188004,124.030998,67.318962,2220021
2011-03-09,125.015999,125.043999,122.091003,124.072998,67.341751,2969895
2011-03-10,124.171997,124.748001,122.779999,124.269997,67.448685,1892949
2011-03-11,122.905998,125.015999,122.905998,124.425003,67.532806,1435470
2011-03-14,124.566002,131.554993,124.566002,130.119995,70.623825,4297500
2011-03-15,127.969002,129.938004,125.452003,128.742004,69.875908,3605874
2011-03-16,128.841003,129.938004,127.702003,128.460999,69.723381,2996224
2011-03-17,126.844002,128.095001,126.042000,127.223000,69.051445,2991996
2011-03-18,127.630997,127.969002,125.240997,125.972000,68.372459,4877934
2011-03-21,126.280998,127.546997,126.000000,126.689003,68.761620,1686279
2011-03-22,127.125000,128.108994,126.337997,127.574997,69.242493,2315556
2011-03-23,128.207993,131.625000,127.688004,131.203003,71.211624,2464082
2011-03-24,131.498001,132.188004,128.194000,129.136002,70.089745,3781284
2011-03-25,132.130997,132.130997,126.942001,128.981003,70.005623,4733906
